"player_name","name_in_home_country","date_of_birth","place_of_birth","age","height","citizenship","position","foot","player_agent","current_club","joined","contract_expires","date_of_last_contract_extension","outfitter","instagram","player_valuation","max_player_valuation","max_player_valuation_date","URL","contract_option","na","on_loan_from","contract_there_expires","twitter","facebook","x2nd_club","full_name","website","x3nd_club","date_of_death"
"Vasilije Djuric","<U+0412><U+0430><U+0441><U+0438><U+043B><U+0438><U+0458><U+0435> <U+0402><U+0443><U+0440><U+0438><U+045B>","1998-07-18","Subotica","24",1.76,"Serbia","midfield - Attacking Midfield","right","Sports eXcellence Group","FK Radnicki 1923 Kragujevac","2023-01-16",NA,NA,NA,NA,NA,NA,"2020-06-28","https://www.transfermarkt.com/vasilije-djuric/profil/spieler/586914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luka Milunovic","<U+041B><U+0443><U+043A><U+0430> <U+041C><U+0438><U+043B><U+0443><U+043D><U+043E><U+0432><U+0438><U+045B>","1992-12-21","Belgrade","30",1.8,"Serbia","midfield - Attacking Midfield","right",NA,"FK Radnicki 1923 Kragujevac","2023-02-03",NA,NA,NA,NA,NA,1e+06,"2012-11-02","https://www.transfermarkt.com/luka-milunovic/profil/spieler/156721",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Milos Milisavljevic","<U+041C><U+0438><U+043B><U+043E><U+0448> <U+041C><U+0438><U+043B><U+0438><U+0441><U+0430><U+0432><U+0459><U+0435><U+0432><U+0438><U+045B>","1992-10-26","Valjevo","30",1.83,"Serbia","midfield - Central Midfield","right",NA,"Makedonikos Neapolis","2022-09-08","2023-06-30",NA,NA,NA,NA,NA,"2015-11-23","https://www.transfermarkt.com/milos-milisavljevic/profil/spieler/334818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dragoljub Srnic","<U+0414><U+0440><U+0430><U+0433><U+043E><U+0459><U+0443><U+0431> <U+0421><U+0440><U+043D><U+0438><U+045B>","1992-01-12","�abac","31",1.71,"Serbia","midfield - Central Midfield","right","KALA Stars Management","FK Radnicki 1923 Kragujevac","2021-07-25","2023-06-30",NA,NA,NA,NA,1e+06,"2015-11-23","https://www.transfermarkt.com/dragoljub-srnic/profil/spieler/169211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luka Zoric","<U+041B><U+0443><U+043A><U+0430> <U+0417><U+043E><U+0440><U+0438><U+045B>","1998-08-02","Valjevo","24",1.78,"Serbia","midfield - Left Midfield","left",NA,"FK Radnicki 1923 Kragujevac","2022-07-01","2024-05-31",NA,NA,NA,NA,NA,"2022-06-19","https://www.transfermarkt.com/luka-zoric/profil/spieler/465557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Milos Vidovic","<U+041C><U+0438><U+043B><U+043E><U+0448> <U+0412><U+0438><U+0434><U+043E><U+0432><U+0438><U+045B>","1989-10-03","Kragujevac","33",1.86,"Serbia","midfield - Defensive Midfield","right","Zeleni Centar Sport","FK Radnicki 1923 Kragujevac","2020-07-18","2023-06-30",NA,NA,NA,NA,NA,"2015-09-14","https://www.transfermarkt.com/milos-vidovic/profil/spieler/124972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nikola Kovacevic","<U+041D><U+0438><U+043A><U+043E><U+043B><U+0430> <U+041A><U+043E><U+0432><U+0430><U+0447><U+0435><U+0432><U+0438><U+045B>","1994-04-14","Kragujevac","28",1.92,"Serbia","midfield - Defensive Midfield","right","Zurich Sports","Al-Nasr Benghazi","2023-01-22",NA,NA,NA,NA,NA,NA,"2014-11-11","https://www.transfermarkt.com/nikola-kovacevic/profil/spieler/260331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Milos Brnovic","Milo� Brnovi�","2000-04-26","Cetinje","22",NA,"Montenegro","midfield - Central Midfield","right","Igor Gluscevic","OFK Petrovac","2023-01-09",NA,NA,NA,NA,NA,NA,"2021-04-12","https://www.transfermarkt.com/milos-brnovic/profil/spieler/502084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uros Vidovic","Uro� Vidovi�","1994-06-09","Kragujevac","28",1.76,"Serbia","midfield - Central Midfield","left",NA,"FK Radnicki 1923 Kragujevac","2019-07-01","2023-06-30",NA,NA,NA,NA,NA,"2015-06-15","https://www.transfermarkt.com/uros-vidovic/profil/spieler/296613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luka Milojevic",NA,"2003-06-09","Kragujevac","19",1.9,"Serbia","midfield - Central Midfield",NA,NA,"FK Radnicki 1923 Kragujevac U19","2020-07-01","2023-06-30",NA,NA,NA,NA,NA,"2022-11-18","https://www.transfermarkt.com/luka-milojevic/profil/spieler/846744","Amateur contract",NA,NA,NA,NA,NA,"FK Radnicki 1923 Kragujevac (#30)",NA,NA,NA,NA
"Milutin Vidosavljevic","<U+041C><U+0438><U+043B><U+0443><U+0442><U+0438><U+043D> <U+0412><U+0438><U+0434><U+043E><U+0441><U+0430><U+0432><U+0459><U+0435><U+0432><U+0438><U+045B>","2001-02-21","Belgrad","21",1.8,"Serbia","Attack - Right Winger","left","DONY Management AG","FK Radnicki 1923 Kragujevac","2022-07-01","2023-06-30",NA,NA,NA,NA,1e+06,"2020-06-28","https://www.transfermarkt.com/milutin-vidosavljevic/profil/spieler/466125",NA,NA,"FK �ukari�ki","Jun 30, 2023",NA,NA,NA,NA,NA,NA,NA
"Evandro",NA,"1997-01-14","Messias","26",1.74,"Brazil","Attack - Left Winger","right","Mike Barros","FK Radnicki 1923 Kragujevac","2022-09-13","2023-06-30",NA,NA,"http://www.instagram.com/evandrosilva09/",NA,2e+06,"2020-02-02","https://www.transfermarkt.com/evandro/profil/spieler/383637",NA,NA,NA,NA,NA,NA,NA,"Evandro da Silva",NA,NA,NA
"Stefan Colovic","<U+0421><U+0442><U+0435><U+0444><U+0430><U+043D> <U+0427><U+043E><U+043B><U+043E><U+0432><U+0438><U+045B>","1994-04-16","Belgrad","28",1.75,"Serbia","Attack - Right Winger","left","Relatives","FK Radnicki 1923 Kragujevac","2022-09-09","2024-05-31",NA,NA,NA,NA,NA,"2022-06-26","https://www.transfermarkt.com/stefan-colovic/profil/spieler/366004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dusan Stoiljkovic","<U+0414><U+0443><U+0448><U+0430><U+043D> <U+0421><U+0442><U+043E><U+0438><U+0459><U+043A><U+043E><U+0432><U+0438><U+045B>","1994-09-05","Sombor","28",1.83,"Serbia","Attack - Left Winger","left",NA,"Turon Yaypan","2023-01-14","2023-12-31",NA,NA,NA,NA,NA,"2022-11-18","https://www.transfermarkt.com/dusan-stoiljkovic/profil/spieler/317670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Djordje Maksimovic","<U+0402><U+043E><U+0440><U+0452><U+0435> <U+041C><U+0430><U+043A><U+0441><U+0438><U+043C><U+043E><U+0432><U+0438><U+045B>","1999-10-09","Kragujevac","23",1.79,"Serbia","Attack - Centre-Forward",NA,NA,"FK Radnicki 1923 Kragujevac","2017-07-01","2023-06-30",NA,"Nike",NA,NA,NA,"2020-12-08","https://www.transfermarkt.com/djordje-maksimovic/profil/spieler/531846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Djordje Jovanovic","<U+0402><U+043E><U+0440><U+0452><U+0435> <U+0408><U+043E><U+0432><U+0430><U+043D><U+043E><U+0432><U+0438><U+045B>","2003-03-09","Kragujevac","19",1.87,"Serbia","Attack - Left Winger",NA,NA,"FK Radnicki 1923 Kragujevac","2022-07-01","2025-05-31",NA,NA,NA,NA,NA,"2022-11-18","https://www.transfermarkt.com/djordje-jovanovic/profil/spieler/846715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nemanja Tomic","<U+041D><U+0435><U+043C><U+0430><U+045A><U+0430> <U+0422><U+043E><U+043C><U+0438><U+045B>","1988-01-21","Kragujevac","35",1.79,"Serbia","Attack - Left Winger","right",NA,"FK Mladost Lucani","2023-01-01",NA,NA,NA,NA,NA,3e+06,"2012-04-16","https://www.transfermarkt.com/nemanja-tomic/profil/spieler/95314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marko Simic","Marko �imi�","1988-01-23","Pakrac","35",1.87,"Croatia","Attack - Centre-Forward","both","Amir Arsalan Mortaz","Without Club","2023-01-01",NA,NA,"Specs",NA,NA,NA,"2019-12-27","https://www.transfermarkt.com/marko-simic/profil/spieler/46650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marko Miric","Marko Miri�","1987-03-26","Kragujevac","35",1.93,"Serbia","Attack - Right Winger","right","NSTM","FK Mladost Lucani","2022-09-05","2024-06-30","2022-01-05",NA,"http://www.instagram.com/markomiric23/",NA,1e+06,"2011-04-19","https://www.transfermarkt.com/marko-miric/profil/spieler/60838",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinedu Geoffrey","Chinedu Charles Geoffrey","1997-10-01","Lagos","25",1.92,"Nigeria","Attack - Centre-Forward","right",NA,"FK Radnicki 1923 Kragujevac","2023-01-27",NA,NA,NA,NA,NA,NA,"2017-12-14","https://www.transfermarkt.com/chinedu-geoffrey/profil/spieler/538773",NA,NA,NA,NA,NA,"http://www.facebook.com/cgeoffery",NA,NA,NA,NA,NA
"Vojo Ubiparip","Bojo <U+0423><U+0431><U+0438><U+043F>ap<U+0438><U+043F>","1988-05-10","Novi Sad","34",1.8,"Serbia Bosnia-Herzegovina","Attack - Centre-Forward","right","Vladan Filipovic","FK Spartak Subotica","2023-01-01",NA,NA,NA,NA,NA,1250000,"2010-10-11","https://www.transfermarkt.com/vojo-ubiparip/profil/spieler/46128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aleksandar Petrovic",NA,"2004-08-16","Kragujevac","18",1.81,"Serbia","Attack - Left Winger",NA,"SPOCS Global Sports","FK Radnicki 1923 Kragujevac U19","2021-07-01","2025-06-30",NA,NA,NA,NA,NA,"2022-11-18","https://www.transfermarkt.com/aleksandar-petrovic/profil/spieler/846747",NA,NA,NA,NA,NA,NA,"FK Radnicki 1923 Kragujevac (#31)",NA,NA,NA,NA
"Stefan Randjelovic","<U+0421><U+0442><U+0435><U+0444><U+0430><U+043D> <U+0420><U+0430><U+043D><U+0452><U+0435><U+043B><U+043E><U+0432><U+0438><U+045B>","1999-01-27","Surdulica","24",1.88,"Serbia","Goalkeeper",NA,NA,"FK Radnik Surdulica","2018-07-01","2024-06-30","2021-07-17",NA,NA,NA,NA,"2022-06-26","https://www.transfermarkt.com/stefan-randjelovic/profil/spieler/620070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nikola Vujanac","<U+041D><U+0438><U+043A><U+043E><U+043B><U+0430> <U+0412><U+0443><U+0458><U+0430><U+043D><U+0430><U+0446>","1991-06-22","Kraljevo","31",1.93,"Serbia","Goalkeeper","right",NA,"Without Club",NA,NA,NA,"X-ONE",NA,NA,NA,"2022-11-18","https://www.transfermarkt.com/nikola-vujanac/profil/spieler/399497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goran Vuklis","<U+0413><U+043E><U+0440><U+0430><U+043D> <U+0412><U+0443><U+043A><U+043B><U+0438><U+0448>","1987-09-24","Banja Luka","35",1.87,"Serbia Bosnia-Herzegovina","Goalkeeper","right",NA,"FK Radnik Surdulica","2023-01-30","2023-06-30",NA,NA,NA,NA,NA,"2015-08-07","https://www.transfermarkt.com/goran-vuklis/profil/spieler/124702",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nemanja Kostic","<U+041D><U+0435><U+043C><U+0430><U+045A><U+0430> <U+041A><U+043E><U+0441><U+0442><U+0438><U+045B>","2004-04-23",NA,"18",NA,"Serbia","Goalkeeper",NA,NA,"FK Radnik Surdulica U19",NA,"2023-06-30",NA,NA,NA,NA,NA,"2022-11-18","https://www.transfermarkt.com/nemanja-kostic/profil/spieler/783943","Amateur contract",NA,NA,NA,NA,NA,"FK Radnik Surdulica (#1)",NA,NA,NA,NA
"Vuk Vukadinovic",NA,"2002-07-27","Nis","20",NA,"Serbia","Goalkeeper",NA,NA,"FK Radnik Surdulica","2019-08-08",NA,NA,NA,NA,NA,NA,"2021-12-25","https://www.transfermarkt.com/vuk-vukadinovic/profil/spieler/769706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ranko Jokic","<U+0420><U+0430><U+043D><U+043A><U+043E> <U+0408><U+043E><U+043A><U+0438><U+045B>","1999-04-22","Subotica","23",1.86,"Serbia","Defender - Centre-Back","left","Relatives","FK Radnik Surdulica","2019-07-15",NA,NA,NA,NA,NA,NA,"2022-06-26","https://www.transfermarkt.com/ranko-jokic/profil/spieler/376587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dusan Stevanovic","<U+0414><U+0443><U+0448><U+0430><U+043D> <U+0421><U+0442><U+0435><U+0432><U+0430><U+043D><U+043E><U+0432><U+0438><U+045B>","1996-06-22","Ni�","26",1.86,"Serbia","Defender - Centre-Back","left","GSU","FK Radnik Surdulica","2022-09-06","2023-06-30",NA,NA,NA,NA,NA,"2021-12-25","https://www.transfermarkt.com/dusan-stevanovic/profil/spieler/286037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leandro Pinto","Leandro Climaco Pinto","1994-01-24","Sao Paulo","29",1.84,"Brazil","Defender - Centre-Back","right",NA,"RFK Novi Sad 1921","2023-02-07",NA,NA,NA,NA,NA,NA,"2019-10-28","https://www.transfermarkt.com/leandro-pinto/profil/spieler/174869",NA,NA,NA,NA,NA,NA,NA,"Leandro Climaco Pinto",NA,NA,NA
"Taras Bondarenko","<U+0411><U+043E><U+043D><U+0434><U+0430><U+0440><U+0435><U+043D><U+043A><U+043E> <U+0422><U+0430><U+0440><U+0430><U+0441> <U+0420><U+043E><U+043C><U+0430><U+043D><U+043E><U+0432><U+0438><U+0447>","1992-09-23","Zaporizhya","30",1.87,"Ukraine","Defender - Centre-Back","right","F&L","FK Radnik Surdulica","2023-01-16",NA,NA,NA,NA,NA,NA,"2019-06-09","https://www.transfermarkt.com/taras-bondarenko/profil/spieler/333024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uros Stojanovic","<U+0423><U+0440><U+043E><U+0448> <U+0421><U+0442><U+043E><U+0458><U+0430><U+043D><U+043E><U+0432><U+0438><U+045B>","1995-08-23","Belgrad","27",1.81,"Serbia","Defender - Left-Back","both",NA,"FK Radnik Surdulica","2019-07-01","2024-06-30","2021-07-17",NA,NA,NA,NA,"2020-06-28","https://www.transfermarkt.com/uros-stojanovic/profil/spieler/531890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dusan Hodzic","Du�an Hod�i�","1993-10-31","Majdanpek","29",1.75,"Bosnia-Herzegovina Serbia","Defender - Right-Back","right","NB FA","FK Radnik Surdulica","2021-08-19","2023-06-30",NA,NA,NA,NA,NA,"2016-07-19","https://www.transfermarkt.com/dusan-hodzic/profil/spieler/280886",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uros Lazic","<U+0423><U+0440><U+043E><U+0448> <U+041B><U+0430><U+0437><U+0438><U+045B>","2003-03-15","Ni�","19",1.75,"Serbia","Defender - Right-Back","right","Borislav Dvorzak","FK Radnik Surdulica","2023-01-01","2023-06-30",NA,NA,NA,NA,NA,"2022-11-18","https://www.transfermarkt.com/uros-lazic/profil/spieler/696362",NA,NA,"Red Star Belgrade","Jun 30, 2025",NA,NA,NA,NA,NA,NA,NA
"Sadick Abubakar",NA,"1998-02-02","Accra","25",NA,"Ghana","Defender - Centre-Back",NA,NA,"FK Radnik Surdulica","2022-09-15","2025-06-30",NA,NA,NA,NA,NA,"2022-11-18","https://www.transfermarkt.com/sadick-abubakar/profil/spieler/750771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nikola Ignjatovic","<U+041D><U+0438><U+043A><U+043E><U+043B><U+0430> <U+0418><U+0433><U+045A><U+0430><U+0442><U+043E><U+0432><U+0438><U+045B>","1998-02-02","Smederevska Palanka","25",1.86,"Serbia","Defender - Centre-Back","right",NA,"FK Radnicki Sremska Mitrovica","2022-09-15","2023-05-31",NA,NA,NA,NA,NA,"2020-12-08","https://www.transfermarkt.com/nikola-ignjatovic/profil/spieler/586908",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Milan Jezdimirovic","<U+041C><U+0438><U+043B><U+0430><U+043D> <U+0408><U+0435><U+0437><U+0434><U+0438><U+043C><U+0438><U+0440><U+043E><U+0432><U+0438><U+045B>","1996-09-05","U�ice","26",1.8,"Serbia","Defender - Right-Back","right",NA,"Without Club","2022-10-07",NA,NA,NA,NA,NA,NA,"2020-06-21","https://www.transfermarkt.com/milan-jezdimirovic/profil/spieler/376632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bogdan Stojkovic","<U+0411><U+043E><U+0433><U+0434><U+0430><U+043D> <U+0421><U+0442><U+043E><U+0458><U+043A><U+043E><U+0432><U+0438><U+045B>","2002-10-14","Surdulica","20",NA,"Serbia","Defender - Right-Back","right",NA,"FK Radnik Surdulica","2021-07-01","2024-07-07",NA,NA,NA,NA,NA,"2020-06-28","https://www.transfermarkt.com/bogdan-stojkovic/profil/spieler/783945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mihailo Orescanin","<U+041C><U+0438><U+0445><U+0430><U+0438><U+043B><U+043E> <U+041E><U+0440><U+0435><U+0448><U+0447><U+0430><U+043D><U+0438><U+043D>","1997-09-07",NA,"25",1.89,"Serbia","midfield - Defensive Midfield","right",NA,"FK Radnik Surdulica","2020-07-14","2024-06-30",NA,NA,NA,NA,NA,"2022-11-18","https://www.transfermarkt.com/mihailo-orescanin/profil/spieler/596055",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sinisa Babic","<U+0421><U+0438><U+043D><U+0438><U+0448><U+0430> <U+0411><U+0430><U+0431><U+0438><U+045B>",NA,"Novi Sad","32",1.78,"Serbia","midfield - Attacking Midfield","both","Dribbling Agency","Al-Nasr Benghazi","2023-01-22","2023-06-30",NA,NA,NA,NA,NA,"2017-05-04","https://www.transfermarkt.com/sinisa-babic/profil/spieler/139914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Edin Rustemovic","Edin Rustemovi�","1993-01-06","Wiesbaden","30",1.8,"Bosnia-Herzegovina","midfield - Defensive Midfield","left","BestTransfer","FK Radnik Surdulica","2022-09-15","2023-06-30",NA,NA,NA,NA,NA,"2016-01-07","https://www.transfermarkt.com/edin-rustemovic/profil/spieler/257688",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nemanja Subotic","<U+041D><U+0435><U+043C><U+0430><U+045A><U+0430> <U+0421><U+0443><U+0431><U+043E><U+0442><U+0438><U+045B>","1992-01-23","Belgrad","31",1.8,"Serbia","midfield - Central Midfield","right",NA,"FK Radnik Surdulica","2020-10-05","2023-06-30","2021-07-17",NA,NA,NA,NA,"2018-07-02","https://www.transfermarkt.com/nemanja-subotic/profil/spieler/341475",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Predrag Medic","<U+041F><U+0440><U+0435><U+0434><U+0440><U+0430><U+0433> <U+041C><U+0435><U+0434><U+0438><U+045B>","1998-05-21","Ba�ka Topola","24",1.82,"Serbia","midfield - Central Midfield","right","Global 11","FK Vozdovac","2023-01-10","2025-12-31",NA,NA,NA,NA,NA,"2022-06-26","https://www.transfermarkt.com/predrag-medic/profil/spieler/509968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Filip Petrovic","<U+0424><U+0438><U+043B><U+0438><U+043F> <U+041F><U+0435><U+0442><U+0440><U+043E><U+0432><U+0438><U+045B>","2002-05-12","Vranje","20",1.81,"Serbia","midfield - Defensive Midfield","left",NA,"FK Radnik Surdulica","2021-07-01","2025-06-30",NA,NA,NA,NA,NA,"2022-11-18","https://www.transfermarkt.com/filip-petrovic/profil/spieler/750005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davor Nedeljkovic","<U+0414><U+0430><U+0432><U+043E><U+0440> <U+041D><U+0435><U+0434><U+0435><U+0459><U+043A><U+043E><U+0432><U+0438><U+045B>","1996-02-04","Vranje","27",1.74,"Serbia","midfield - Central Midfield","left",NA,"FK Radnik Surdulica","2021-07-01","2024-12-31",NA,NA,NA,NA,NA,"2019-01-14","https://www.transfermarkt.com/davor-nedeljkovic/profil/spieler/531872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Viktor Lukic","<U+0412><U+0438><U+043A><U+0442><U+043E><U+0440> <U+041B><U+0443><U+043A><U+0438><U+045B>","2000-10-06","�abac","22",1.72,"Serbia","midfield - Attacking Midfield","left","Armor Sport Management","Diagoras Rodou","2023-01-10","2024-06-30",NA,NA,NA,NA,NA,"2021-06-12","https://www.transfermarkt.com/viktor-lukic/profil/spieler/542996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vuk Mitosevic","B<U+0443><U+043A> M<U+0438><U+0442>o<U+0448>e<U+0432><U+0438><U+045B>","1991-02-12","Novi Sad","32",1.73,"Serbia","midfield - Defensive Midfield","both","Dribbling Agency","FK Radnik Surdulica","2022-01-17","2023-12-31",NA,NA,NA,NA,1250000,"2012-11-02","https://www.transfermarkt.com/vuk-mitosevic/profil/spieler/48166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrija Milic","<U+0410><U+043D><U+0434><U+0440><U+0438><U+0458><U+0430> <U+041C><U+0438><U+043B><U+0438><U+045B>","2001-07-15","Jagodina","21",1.79,"Serbia","midfield - Central Midfield","right",NA,"FK Radnik Surdulica","2022-07-01","2023-06-30",NA,NA,NA,NA,NA,"2022-06-19","https://www.transfermarkt.com/andrija-milic/profil/spieler/556205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marko Stoiljkovic",NA,"2001-03-12","Leskovac","21",1.84,"Serbia","midfield - Central Midfield",NA,NA,"FK Radnik Surdulica","2020-07-01",NA,NA,NA,NA,NA,NA,"2020-12-08","https://www.transfermarkt.com/marko-stoiljkovic/profil/spieler/640478",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrija Radulovic","<U+0410><U+043D><U+0434><U+0440><U+0438><U+0458><U+0430> <U+0420><U+0430><U+0434><U+0443><U+043B><U+043E><U+0432><U+0438><U+045B>","2002-07-03","Kotor","20",1.75,"Montenegro Serbia","Attack - Right Winger","left","M3T Management","FK Radnik Surdulica","2023-01-01","2025-06-30",NA,NA,"http://www.instagram.com/radule_11/",1e+06,1300000,"2020-12-22","https://www.transfermarkt.com/andrija-radulovic/profil/spieler/614194",NA,NA,"Red Star Belgrade","Jun 30, 2025",NA,NA,NA,NA,NA,NA,NA
"Milos Spasic","<U+041C><U+0438><U+043B><U+043E><U+0448> <U+0421><U+043F><U+0430><U+0441><U+0438><U+045B>","1997-07-29","Pirot","25",1.85,"Serbia","Attack - Left Winger","right","Dribbling Agency","Kisv�rda FC","2023-01-23","2025-12-31",NA,NA,NA,NA,NA,"2022-06-26","https://www.transfermarkt.com/milos-spasic/profil/spieler/455769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uros Milovanovic","<U+0423><U+0440><U+043E><U+0448> <U+041C><U+0438><U+043B><U+043E><U+0432><U+0430><U+043D><U+043E><U+0432><U+0438><U+045B>","2000-10-18","Duisburg","22",1.87,"Serbia","Attack - Centre-Forward","both","ROOF","Sporting Gij�n","2022-08-31","2026-06-30",NA,NA,NA,NA,NA,"2022-06-26","https://www.transfermarkt.com/uros-milovanovic/profil/spieler/586877",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Milan Makaric","<U+041C><U+0438><U+043B><U+0430><U+043D> <U+041C><U+0430><U+043A><U+0430><U+0440><U+0438><U+045B>","1995-10-04","Novi Sad","27",1.85,"Serbia","Attack - Centre-Forward","both","Dribbling Agency","FK Radnik Surdulica","2023-01-29","2023-06-30",NA,NA,NA,NA,1500000,"2021-06-12","https://www.transfermarkt.com/milan-makaric/profil/spieler/315561",NA,NA,"Aalborg BK","Jun 30, 2025",NA,NA,NA,NA,NA,NA,NA
"Nikola Bogdanovski","<U+041D><U+0438><U+043A><U+043E><U+043B><U+0430> <U+0411><U+043E><U+0433><U+0434><U+0430><U+043D><U+043E><U+0432><U+0441><U+043A><U+0438>","1999-01-25","Pan�evo","24",1.79,"North Macedonia Serbia","Attack - Right Winger","both",NA,"FK Novi Pazar","2022-08-09","2024-06-30",NA,NA,NA,NA,NA,"2021-06-12","https://www.transfermarkt.com/nikola-bogdanovski/profil/spieler/497359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dejan Drazic","<U+0414><U+0435><U+0458><U+0430><U+043D> <U+0414><U+0440><U+0430><U+0436><U+0438><U+045B>","1995-09-26","Sombor","27",1.78,"Serbia","Attack - Left Winger","right","CSGG","FK Radnik Surdulica","2023-02-07",NA,NA,NA,NA,NA,1e+06,"2015-08-25","https://www.transfermarkt.com/dejan-drazic/profil/spieler/291247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zoran Danoski","<U+0417><U+043E><U+0440><U+0430><U+043D> <U+0414><U+0430><U+043D><U+043E><U+0441><U+043A><U+0438>","1990-10-20","Prilep","32",1.73,"North Macedonia","Attack - Left Winger","right","Dribbling Agency","FK Radnik Surdulica","2022-08-24","2023-06-30",NA,NA,NA,NA,NA,"2020-06-28","https://www.transfermarkt.com/zoran-danoski/profil/spieler/99956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Borko Duronjic","<U+0411><U+043E><U+0440><U+043A><U+043E> <U+0414><U+0443><U+0440><U+043E><U+045A><U+0438><U+045B>","1997-09-24","Banja Luka","25",1.73,"Serbia Bosnia-Herzegovina","Attack - Left Winger","right","KALA Stars Management","FK Radnik Surdulica","2022-01-17","2024-06-30",NA,NA,NA,NA,NA,"2019-10-28","https://www.transfermarkt.com/borko-duronjic/profil/spieler/146396",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ousman Marong",NA,"1999-06-21",NA,"23",1.73,"The Gambia","Attack - Left Winger","right",NA,"FK Radnik Surdulica","2022-08-13","2024-06-30",NA,NA,NA,NA,NA,"2022-05-17","https://www.transfermarkt.com/ousman-marong/profil/spieler/645606",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vukasin Bogdanovic","<U+0412><U+0443><U+043A><U+0430><U+0448><U+0438><U+043D> <U+0411><U+043E><U+0433><U+0434><U+0430><U+043D><U+043E><U+0432><U+0438><U+045B>","2002-10-04","Prokuplje","20",1.84,"Serbia","Attack - Centre-Forward","right","Mirko Vavan","FK Radnik Surdulica","2022-07-01","2026-06-30",NA,NA,NA,NA,NA,"2022-06-19","https://www.transfermarkt.com/vukasin-bogdanovic/profil/spieler/636567",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vasilije Janjic","<U+0412><U+0430><U+0441><U+0438><U+043B><U+0438><U+0458><U+0435> <U+0408><U+0430><U+045A><U+0438><U+045B>","1995-01-25","U�ice","28",1.77,"Serbia","Attack - Left Winger","right","Petar Bazic","FK Zlatibor Cajetina","2023-01-09",NA,NA,NA,NA,NA,NA,"2019-10-28","https://www.transfermarkt.com/vasilije-janjic/profil/spieler/190252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
