,name,date of birth,height,foot,joined,contract until,position
489,Blazej Szczepanek,"Mar 20, 2001",1.7,right,"Oct 28, 2022","Jun 30, 2023",Attacking Midfield
490,Igor Lewandowski,"Oct 9, 2001",1.7, ,"Sep 28, 2020",-,Attacking Midfield
491,Ángelo Henríquez ,"Apr 13, 1994",1.7,right,"Jul 1, 2022","Jun 30, 2025", Centre-Forward
492,Hubert Kwolek,"Apr 26, 2004",1.8, ,"Dec 3, 2020","Jun 30, 2023",Centre-Forward
493,Henrich Ravas,"Aug 16, 1997",1.9,right,"Mar 29, 2022","Jun 30, 2024",Goalkeeper
494,Jakub Wrabel,"Jun 8, 1996",1.9,left,"Jul 1, 2021","Jun 30, 2023",Goalkeeper
495,Vasyl Lytvynenko,"Oct 3, 1991",1.9,right,"Apr 5, 2022","Jun 30, 2023",Goalkeeper
496,Patryk Stepinski,"Jan 16, 1995",1.7,right,"Sep 1, 2020","Jun 30, 2024",Centre-Back
497,Mateusz Zyro,"Oct 28, 1998",1.8,right,"Jul 1, 2022","Jun 30, 2024",Centre-Back
498,Martin Kreuzriegler,"Jan 10, 1994",1.8,left,"Jan 25, 2022","Jun 30, 2023",Centre-Back
499,Serafin Szota,"Mar 4, 1999",1.8,right,"Jul 1, 2022","Jun 30, 2024",Centre-Back
500,Bozhidar Chorbadzhiyski,"Aug 8, 1995",1.9,both,"Jul 1, 2022","Jun 30, 2024",Centre-Back
501,Adam Debinski,"Jul 7, 2004",1.8,left,"Jul 6, 2022","Jun 30, 2024",Centre-Back
502,Dominik Kun,"Jun 22, 1993",1.7,right,"Aug 14, 2020","Jun 30, 2024",Defensive Midfield
503,Marek Hanousek,"Aug 6, 1991",1.8,right,"Feb 24, 2021","Jun 30, 2024",Defensive Midfield
504,Patryk Lipski,"Jun 12, 1994",1.8,right,"Mar 3, 2022","Jun 30, 2023",Defensive Midfield
505,Juljan Shehu,"Sep 6, 1998",1.8,right,"Jul 1, 2022","Jun 30, 2024",Defensive Midfield
506,Ignacy Dawid,"Jan 15, 2003",1.6, ,"Sep 7, 2022","Jun 30, 2024",Defensive Midfield
507,Filip Zawadzki,"Jul 1, 2004",1.7,both,"Jul 1, 2022","Jun 30, 2023",Central Midfield
508,Mato Milos,"Jun 30, 1993",1.7,right,"Aug 27, 2022","Jun 30, 2024",Right Midfield
509,Pawel Zielinski,"Jul 17, 1990",1.7,right,"Jul 1, 2021","Jun 30, 2023",Right Midfield
510,Andrejs Ciganiks,"Apr 12, 1997",1.7,both,"Jan 2, 2023","Jun 30, 2024",Left Midfield
511,Fábio Nunes,"Jul 24, 1992",1.8,left,"Jul 28, 2021","Jun 30, 2025",Left Midfield
512,Bartlomiej Pawlowski,"Nov 13, 1992",1.7,right,"Feb 1, 2022","Jun 30, 2023",Attacking Midfield
513,Juliusz Letniowski,"Apr 8, 1998",1.8,both,"Jul 1, 2022","Jun 30, 2024",Attacking Midfield
514,Ernest Terpilowski,"Sep 14, 2001",1.7,both,"Feb 25, 2022","Jun 30, 2024",Attacking Midfield
515,Kristoffer Hansen,"Aug 12, 1994",1.8,right,"Jan 21, 2022","Jun 30, 2024",Attacking Midfield
516,Jakub Sypek,"Apr 7, 2001",1.8, ,"Jul 12, 2022","Jun 30, 2025",Attacking Midfield
517,Jordi Sánchez,"Nov 11, 1994",1.9,right,"Jul 2, 2022","Jun 30, 2024",Centre-Forward
518,Lukasz Zjawinski,"Jul 11, 2001",1.9,right,"Aug 17, 2022","Jun 30, 2023",Centre-Forward
519,Mateusz Kempski,"Mar 21, 2003",1.9,both,"Sep 29, 2022","Jun 30, 2024",Centre-Forward
520,Marcel Zapytowski,"Jan 8, 2001",1.8,right,"Jan 25, 2021","Jun 30, 2024",Goalkeeper
521,Konrad Forenc,"Jul 17, 1992",1.9,left,"Jul 14, 2021","Jun 30, 2023",Goalkeeper
522,Adrian Sandach,"May 19, 2004",1.9, ,"Aug 13, 2020","Jun 30, 2023",Goalkeeper
523,Rafal Mamla,"Dec 22, 2003",1.9, ,"Aug 1, 2022","Jun 30, 2024",Goalkeeper
524,Milosz Trojak,"May 5, 1994",1.9,right,"Jul 1, 2022","Jun 30, 2024",Centre-Back
525,Kyrylo Petrov,"Jun 22, 1990",1.8,right,"Apr 6, 2022","Jun 30, 2023",Centre-Back
526,Bartosz Kwiecien,"May 7, 1994",1.8,right,"Jan 1, 2023","Jun 30, 2024",Centre-Back
527,Dominick Zator,"Sep 18, 1994",1.8,right,"Jan 1, 2023","Jun 30, 2024",Centre-Back
528,Piotr Malarczyk,"Aug 1, 1991",1.8,right,"Jul 1, 2021","Jun 30, 2024",Centre-Back
529,Radoslaw Sewerys,"Jan 10, 2004",1.9,left,"Dec 18, 2019","Jun 30, 2023",Centre-Back
530,Marius Briceag,"Apr 6, 1992",1.7,left,"Jan 25, 2023","Jun 30, 2024",Left-Back
531,Dawid Lisowski,"Jan 27, 2001",1.7,left,"Feb 4, 2020","Jun 30, 2023",Left-Back
532,Marcus Godinho,"Jun 28, 1997",1.7,right,"Jan 19, 2023","Jun 30, 2023",Right-Back
533,Adrian Danek,"Aug 1, 1994",1.8,right,"Jul 2, 2021","Jun 30, 2023",Right-Back
534,Marcin Szpakowski,"Sep 26, 2001",1.8,right,"Feb 24, 2021","Jun 30, 2024",Defensive Midfield
535,Adam Deja,"Jun 24, 1993",1.8,right,"Jul 1, 2022","Jun 30, 2024",Defensive Midfield
536,Ronaldo Deaconu,"May 13, 1997",1.8,left,"Jul 28, 2022","Jun 30, 2024",Attacking Midfield
537,Nono,"May 28, 1991",1.7,right,"Jan 1, 2023","Jun 30, 2024",Attacking Midfield
538,Dalibor Takac,"Oct 11, 1997",1.7, ,"Jan 18, 2022","Jun 30, 2024",Attacking Midfield
539,Kacper Bojanczyk,"Jan 4, 2005",1.7, ,"Feb 17, 2022","Jun 30, 2024",Attacking Midfield
540,Jakub Lukowski,"May 25, 1996",1.7,right,"Feb 26, 2021","Jun 30, 2024",Left Winger
541,Dawid Blanik,"Apr 15, 1997",1.7,right,"Sep 1, 2021","Jun 30, 2023",Left Winger
542,Jakub Konstantyn,"Jun 26, 2002",,left,"Feb 17, 2023",-,Left Winger
543,Jacek Podgorski,"Jun 23, 1996",1.8,right,"Aug 11, 2020","Jun 30, 2024",Right Winger
544,Jacek Kielb,"Jan 10, 1988",1.8,right,"Feb 6, 2020","Jun 30, 2024",Right Winger
545,Evgeniy Shikavka,"Oct 15, 1992",1.8,right,"Jan 26, 2022","Jun 30, 2023",Centre-Forward
546,Kacper Kostorz,"Aug 21, 1999",1.9,both,"Feb 17, 2023","Jun 30, 2023",Centre-Forward
547,Hubert Szulc,"Aug 27, 2004",1.8,left,"Jul 1, 2022","Jun 30, 2024",Centre-Forward
